Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Number of cluster,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
dbpedia,67.51666667,9775,10,156,14,14,0.38,0.3,0.49,0.08
yelp_review_polarity,183.7011111,9054,4,1328,3,2,0.83,0.9,0.84,0.34
yelp_review_polarity,178.8955556,9093,4,1402,3,2,0.8,0.73,0.72,0.24
dbpedia,67.15222222,9685,9,175,15,14,0.47,0.28,0.48,0.1
yelp_review_polarity,187.8088889,9157,5,1301,4,2,0.76,0.83,0.82,0.27
dbpedia,65.96888889,9572,11,532,17,14,0.39,0.32,0.64,0.12
yelp_review_polarity,186.6588889,9225,7,1450,3,2,0.79,0.8,0.86,0.21
dbpedia,67.66555556,9715,12,176,16,14,0.48,0.4,0.54,0.09
dbpedia,67.85,9694,11,156,16,14,0.43,0.35,0.66,0.07
amazon_review_polarity,100.0633333,8832,19,261,5,2,0.69,0.68,0.87,0.31
ag_news,44.67777778,7283,11,208,12,4,0.6,0.53,0.54,0.16
amazon_review_polarity,100.0333333,9011,18,289,7,2,0.72,0.73,0.8,0.29
yelp_review_polarity,187.0044444,9260,5,1259,3,2,0.8,0.81,0.86,0.31
dbpedia,66.26666667,9671,13,282,16,14,0.52,0.42,0.58,0.07
yelp_review_polarity,193.5766667,9265,7,1297,3,2,0.75,0.72,0.86,0.39
amazon_review_polarity,97.50777778,8790,20,305,4,2,0.84,0.82,0.9,0.33
yelp_review_polarity,190.3688889,9232,6,1550,3,2,0.59,0.57,0.74,0.3
dbpedia,66.45666667,9730,13,219,14,14,0.49,0.35,0.64,0.05
yelp_review_full,190.88,9138,4,1213,3,5,0.85,0.96,0.94,0.65
amazon_review_polarity,97.86222222,8948,16,278,3,2,0.55,0.54,0.64,0.35
amazon_review_polarity,96.80666667,8840,17,523,5,2,0.66,0.69,0.84,0.31
ag_news,45.87444444,7305,10,214,3,4,0.64,0.61,0.56,0.16
amazon_review_polarity,96.87444444,8938,21,286,3,2,0.78,0.75,0.91,0.3
yelp_review_polarity,190.1277778,9144,7,1183,3,2,0.82,0.85,0.89,0.33
amazon_review_polarity,101.5877778,9054,17,381,6,2,0.78,0.76,0.88,0.25
ag_news,46.54,7418,11,212,4,4,0.65,0.57,0.56,0.23
amazon_review_polarity,98.08666667,9119,17,433,4,2,0.56,0.55,0.65,0.29
yelp_review_polarity,201.6077778,9536,6,1248,5,2,0.78,0.78,0.82,0.22
ag_news,45.10777778,7342,12,207,3,4,0.6,0.59,0.61,0.17
dbpedia,66.20888889,9647,12,249,18,14,0.46,0.34,0.56,0.09
yelp_review_polarity,184.8211111,8944,3,1384,3,2,0.74,0.76,0.88,0.29
dbpedia,67.6,9768,11,158,12,14,0.5,0.38,0.64,0.13
ag_news,46.28222222,7362,10,345,5,4,0.64,0.62,0.61,0.12
yelp_review_polarity,177.0755556,8990,6,1240,4,2,0.82,0.86,0.78,0.23
dbpedia,66.56,9653,7,146,13,14,0.49,0.4,0.57,0.06
yelp_review_polarity,195.7211111,9422,9,1711,3,2,0.75,0.77,0.86,0.31
dbpedia,66.26888889,9507,12,430,12,14,0.49,0.39,0.61,0.1
dbpedia,65.58777778,9369,5,159,13,14,0.43,0.38,0.56,0.1
ag_news,45.96333333,7368,16,209,3,4,0.63,0.62,0.61,0.21
amazon_review_polarity,97.32666667,8783,21,370,6,2,0.72,0.73,0.82,0.3
ag_news,45.88,7324,14,206,7,4,0.74,0.63,0.61,0.16
yelp_review_polarity,194.6733333,9384,4,1331,3,2,0.81,0.74,0.77,0.26
ag_news,46.05555556,7393,14,207,7,4,0.63,0.63,0.52,0.24
amazon_review_polarity,101.2111111,9057,18,312,6,2,0.74,0.68,0.81,0.3
yelp_review_polarity,190.4911111,9348,8,1391,3,2,0.56,0.54,0.58,0.21
yelp_review_polarity,188.05,9144,4,1234,3,2,0.8,0.71,0.73,0.22
yelp_review_polarity,188.7766667,9366,5,1213,3,2,0.69,0.7,0.76,0.33
yelp_review_polarity,189.6677778,9162,6,1485,3,2,0.68,0.69,0.71,0.23
yahoo_answers,62.87,6239,3,1564,6,10,0.9,0.92,0.83,0.56
ag_news,45.95111111,7400,15,204,3,4,0.64,0.67,0.63,0.21
dbpedia,64.6,9558,11,169,13,14,0.44,0.34,0.57,0.12
ag_news,45.88111111,7341,12,207,3,4,0.66,0.56,0.51,0.17
dbpedia,67.86222222,9740,12,141,11,14,0.39,0.32,0.52,0.03
